Algorithm,Problem,N_Var,Population_Size,Max_Iteration,Opt_Val,Runtime
PSO,Rastrigin,2,500,10000,0.6984167309390692,132.6168406009674
PSO,Rastrigin,4,100,10000,8.771258718244809,26.660049200057983
PSO,Rastrigin,2,100,10000,3.5111749190626824,26.176636695861816
PSO,Rastrigin,10,100,10000,64.47231070413666,26.843899726867676
PSO,Rastrigin,4,100,10000,19.945419585820886,26.476810932159424
PSO,Rastrigin,2,100,10000,1.8437600053708678,25.259774446487427
PSO,Rastrigin,10,100,10000,82.69749301188648,26.793850660324097
PSO,Rastrigin,10,100,10000,69.75353229719192,28.011749029159546
PSO,Rastrigin,10,100,10000,69.37728966445987,31.049342155456543
PSO,Rastrigin,10,100,10000,63.66154525165663,30.946877241134644
PSO,Rastrigin,4,500,10000,14.675911706554732,143.01049637794495
PSO,Rastrigin,10,500,10000,59.08158400317693,146.2310712337494
