,Algorithm,Problem,N_Var,Population_Size,Max_Iteration,Opt_Val,Runtime
36,ABC,Styblinski-Tang,50,50,10000,-643.5872935636968,18.01020474433899
37,ABC,Styblinski-Tang,50,100,10000,-724.9727816658284,35.16226425170898
38,ABC,Styblinski-Tang,50,500,10000,-806.2233049852994,162.09677624702454
39,ABC,Styblinski-Tang,50,1000,10000,-849.3830144235635,310.854492855072
40,PSO,Rastrigin,2,10,10000,10.461245072464877,2.721588635444641
41,PSO,Rastrigin,2,50,10000,4.953935632450724,13.247380185127259
42,PSO,Rastrigin,2,100,10000,2.591342210157281,26.061253452301024
43,PSO,Rastrigin,2,500,10000,1.7345117490223771,145.92367582321168
44,PSO,Rastrigin,2,1000,10000,1.0744073814792074,300.77926909923553
45,PSO,Rastrigin,4,10,10000,30.248252129177637,2.7815619468688966
46,PSO,Rastrigin,4,50,10000,19.065747145268936,13.202079248428344
47,PSO,Rastrigin,4,100,10000,17.351841754039665,26.51708674430847
48,PSO,Rastrigin,4,500,10000,11.415323105780946,144.17095677852632
49,PSO,Rastrigin,4,1000,10000,9.666738187987601,297.27232191562655
50,PSO,Rastrigin,10,10,10000,89.64108691195356,2.765815806388855
51,PSO,Rastrigin,10,50,10000,78.61356330196278,13.27829818725586
52,PSO,Rastrigin,10,100,10000,68.28467536384889,28.121675515174864
53,PSO,Rastrigin,10,500,10000,63.67185728342762,150.1202026605606
54,PSO,Rastrigin,10,1000,10000,57.51317947520239,302.28230221271514
55,PSO,Rastrigin,50,10,10000,553.5181794244688,3.1802615404129027
56,PSO,Rastrigin,50,50,10000,532.2991286199991,15.85883400440216
57,PSO,Rastrigin,50,100,10000,512.7230244397682,31.515312719345093
58,PSO,Rastrigin,50,500,10000,490.91491041293773,158.1555102109909
59,PSO,Rastrigin,50,1000,10000,478.79887668175513,316.4100386619568
60,PSO,Styblinski-Tang,2,10,10000,-42.172458016666674,3.2451653480529785
61,PSO,Styblinski-Tang,2,50,10000,-47.49089771048382,15.574046087265014
62,PSO,Styblinski-Tang,2,100,10000,-49.19407134558781,31.902131366729737
63,PSO,Styblinski-Tang,2,500,10000,-49.87362281166342,156.44323012828826
64,PSO,Styblinski-Tang,2,1000,10000,-49.98882812239172,317.29773070812223
65,PSO,Styblinski-Tang,4,10,10000,-67.33112156257201,3.1681920289993286
66,PSO,Styblinski-Tang,4,50,10000,-84.4762587621743,15.91283221244812
67,PSO,Styblinski-Tang,4,100,10000,-88.64153072720897,31.67695116996765
68,PSO,Styblinski-Tang,4,500,10000,-92.15539686297491,159.1742802143097
69,PSO,Styblinski-Tang,4,1000,10000,-95.7636570375318,305.47865827083587
70,PSO,Styblinski-Tang,10,10,10000,-117.23772940812394,3.047957921028137
71,PSO,Styblinski-Tang,10,50,10000,-155.59881892268982,16.53347465991974
72,PSO,Styblinski-Tang,10,100,10000,-160.98149385476898,32.836082220077515
73,PSO,Styblinski-Tang,10,500,10000,-190.10956785413558,162.42251024246215
74,PSO,Styblinski-Tang,10,1000,10000,-193.12400131270837,308.9554864883423
75,PSO,Styblinski-Tang,50,10,10000,-285.63578122359706,3.2270801067352295
76,PSO,Styblinski-Tang,50,50,10000,-364.54889783014244,17.764777421951294
77,PSO,Styblinski-Tang,50,100,10000,-389.54504407113944,35.81491219997406
78,PSO,Styblinski-Tang,50,500,10000,-507.1950740944076,165.0150264263153
79,PSO,Styblinski-Tang,50,1000,10000,-546.1064771335228,318.13598668575287
80,algorithm-base,Rastrigin,10,500,10000,99.09778173330776,137.3976068496704
81,algorithm-base,Rastrigin,50,500,10000,717.7997439707896,143.73270297050476
82,algorithm-base,Rastrigin,50,1000,10000,675.8781752384551,280.85784435272217
